,it,alpha,result,size_gen
48,9.0,0.4,2.0078540950120214,200
49,9.0,0.5,1.9899181141865796,200
50,10.0,0.1,17.139234919428585,200
51,10.0,0.2,5.969754342559739,200
52,10.0,0.3,6.1422949676076986,200
53,10.0,0.4,4.974795285466449,200
54,10.0,0.5,1.9899181141865796,200
55,11.0,0.1,11.992888569065064,200
56,11.0,0.2,4.974795285466449,200
57,11.0,0.3,3.979836228373159,200
10,0,0.6,1.9899181141865796,200
10,0,0.7,4.974795285466449,200
10,0,0.8,2.9848771712798694,200
10,0,0.9,4.974795285466449,200
10,0,1.0,6.065230920306858,200
10,1,0.6,0.9949590570932898,200
10,1,0.7,1.9899181141865796,200
10,1,0.8,2.9848771712798694,200
10,1,0.9,2.9848771712798694,200
10,1,1.0,4.974795285538024,200
10,2,0.6,4.974795285466449,200
10,2,0.7,6.96471339965303,200
10,2,0.8,0.0,200
10,2,0.9,3.979836228373159,200
10,2,1.0,81.04316917333816,200
10,3,0.6,1.9899181141865796,200
10,3,0.7,2.9848812201983357,200
10,3,0.8,3.979836228373159,200
10,3,0.9,1.9899181141865796,200
10,3,1.0,41.227786810674424,200
10,4,0.6,2.9848771712798694,200
10,4,0.7,1.9899181141865796,200
10,4,0.8,0.9949590570932898,200
10,4,0.9,4.974795285466449,200
10,4,1.0,129.8611680004696,200
10,5,0.6,0.9949590570932898,200
10,5,0.7,4.974795285466449,200
10,5,0.8,2.9848771712798694,200
10,5,0.9,3.979836228373159,200
10,5,1.0,5.970576416717552,200
10,6,0.6,4.974795285466449,200
10,6,0.7,2.9848771712798694,200
10,6,0.8,4.974795285466451,200
10,6,0.9,0.0,200
10,6,1.0,143.42124826095437,200
10,7,0.6,3.979836228373159,200
10,7,0.7,2.9848771712798694,200
10,7,0.8,0.0,200
10,7,0.9,5.969754342559739,200
10,7,1.0,7.959690528276093,200
10,8,0.6,0.9949590570932898,200
10,8,0.7,3.979836228373159,200
10,8,0.8,2.9848771712798694,200
10,8,0.9,4.974795285466449,200
10,8,1.0,14.550744432724397,200
10,9,0.6,1.9899181141865796,200
10,9,0.7,1.9899181141865796,200
10,9,0.8,1.9899181141865796,200
10,9,0.9,6.96471339965303,200
10,9,1.0,6.971246442827189,200
10,10,0.6,0.9949590570932898,200
10,10,0.7,1.9899181141865796,200
10,10,0.8,2.9848771712798694,200
10,10,0.9,6.964713399653032,200
10,10,1.0,51.77779773895794,200
10,11,0.6,0.9949590570932898,200
10,11,0.7,4.974795285466451,200
10,11,0.8,4.974795285466449,200
10,11,0.9,3.979836228373159,200
10,11,1.0,6.964713724286359,200
10,12,0.6,2.9848771712798694,200
10,12,0.7,1.9899181141865796,200
10,12,0.8,1.9899181141865796,200
10,12,0.9,143.5584920560955,200
10,12,1.0,128.77075292588927,200
10,13,0.6,2.987885716897022,200
10,13,0.7,2.9848771712798694,200
10,13,0.8,0.0,200
10,13,0.9,4.974795285466449,200
10,13,1.0,124.34012150300923,200
