uCR uF c size_gen it cost
0.1 0.1 0.5 100 10 52.361267101139106
0.1 0.1 0.5 100 11 21.661181333244134
0.1 0.1 0.5 100 12 32.71672739540168
0.1 0.1 0.5 100 13 41.05117236405478
0.1 0.1 0.5 100 14 0.007572143937382592
0.1 0.1 0.5 200 0 18.949048654613623
0.1 0.1 0.5 200 1 14.594213726242648
0.1 0.1 0.5 200 2 20.64267562525417
0.1 0.1 0.5 200 3 21.709368520717994
0.1 0.1 0.5 200 4 27.757685404179504
0.1 0.1 0.5 200 5 15.840237148475502
0.1 0.1 0.5 200 6 29.371649740603264
0.1 0.1 0.5 200 7 26.795779911810783
0.1 0.1 0.5 200 8 24.24551964916361
0.1 0.1 0.5 200 9 26.825436398896738
0.1 0.1 0.5 200 10 18.186475479097417
0.1 0.1 0.5 200 11 21.354019628400494
0.1 0.1 0.5 200 12 22.508242757118886
0.1 0.1 0.5 200 13 28.910629798886035
0.1 0.1 0.5 200 14 28.478456819798332
0.1 0.1 0.7 100 0 0.01792978283727642
0.1 0.1 0.7 100 1 0.003708805934589776
0.1 0.1 0.7 100 2 72.5420495744649
0.1 0.1 0.7 100 3 46.96838251220744
0.1 0.1 0.7 100 4 17.875659252416526
0.1 0.1 0.7 100 5 28.46690404469932
0.1 0.1 0.7 100 6 30.341915602126996
0.1 0.1 0.7 100 7 62.073840561785545
0.1 0.1 0.7 100 8 51.946026969562965
0.1 0.1 0.7 100 9 69.93922982890024
0.1 0.1 0.7 100 10 94.56725608310488
0.1 0.1 0.7 100 11 47.35103547126004
0.1 0.1 0.7 100 12 47.96547477520685
0.1 0.1 0.7 100 13 2.2541811221997428
0.1 0.1 0.7 100 14 29.159811169103598
0.1 0.1 0.7 200 0 25.492753779323237
0.1 0.1 0.7 200 1 23.99769993075093
0.1 0.1 0.7 200 2 25.52344918918908
0.1 0.1 0.7 200 3 21.996695967862927
0.1 0.1 0.7 200 4 15.360982652536634
0.1 0.1 0.7 200 5 18.64210297296026
0.1 0.1 0.7 200 6 23.10639786080825
0.1 0.1 0.7 200 7 29.552552908360003
0.1 0.1 0.7 200 8 28.49257710708426
0.1 0.1 0.7 200 9 27.03631396257564
0.1 0.1 0.7 200 10 13.88850285867462
0.1 0.1 0.7 200 11 22.940048752149323
0.1 0.1 0.7 200 12 25.15054995274268
0.1 0.1 0.7 200 13 32.29840834727783
0.1 0.1 0.7 200 14 25.32535294998884
0.1 0.1 0.9 100 0 16.26430429075759
0.1 0.1 0.9 100 1 46.42613368655724
0.1 0.1 0.9 100 2 44.81143887322025
0.1 0.1 0.9 100 3 48.81964224703322
0.1 0.1 0.9 100 4 48.39451664468284
0.1 0.1 0.9 100 5 50.75711105198782
0.1 0.1 0.9 100 6 53.01530669079928
0.1 0.1 0.9 100 7 32.88820612658664
0.1 0.1 0.9 100 8 44.1644219272891
0.1 0.1 0.9 100 9 32.68873813422444
0.1 0.1 0.9 100 10 25.987217855533256
