uCR uF c size_gen it cost
0.1 0.3 0.5 200 5 1.3128137887996445
0.1 0.3 0.5 200 6 1.0238221002868109
0.1 0.3 0.5 200 7 0.02116626760114393
0.1 0.3 0.5 200 8 1.0101432921511897
0.1 0.3 0.5 200 9 0.013050838851476954
0.1 0.3 0.5 200 10 1.2402806906741564
0.1 0.3 0.5 200 11 1.099358218527513
0.1 0.3 0.5 200 12 1.0371254702991326
0.1 0.3 0.5 200 13 3.4093333104546435
0.1 0.3 0.5 200 14 1.0415457651491522
0.1 0.3 0.7 100 0 53.62323310858149
0.1 0.3 0.7 100 1 54.16354766527776
0.1 0.3 0.7 100 2 41.76043425448481
0.1 0.3 0.7 100 3 46.830393677379774
0.1 0.3 0.7 100 4 0.0
0.1 0.3 0.7 100 5 21.997254199402768
0.1 0.3 0.7 100 6 39.580496816991136
0.1 0.3 0.7 100 7 23.10561065162033
0.1 0.3 0.7 100 8 31.443911475332257
0.1 0.3 0.7 100 9 43.42986519527172
0.1 0.3 0.7 100 10 36.72422961885435
0.1 0.3 0.7 100 11 25.178231520833062
0.1 0.3 0.7 100 12 13.11359532827167
0.1 0.3 0.7 100 13 30.81786423219217
0.1 0.3 0.7 100 14 41.80602420418151
0.1 0.3 0.7 200 0 1.0354924827168777
0.1 0.3 0.7 200 1 0.04137928441013017
0.1 0.3 0.7 200 2 0.012027029025620806
0.1 0.3 0.7 200 3 0.02584433072565595
0.1 0.3 0.7 200 4 1.0150523252466126
0.1 0.3 0.7 200 5 1.0060043598326978
0.1 0.3 0.7 200 6 0.0023032179968076605
0.1 0.3 0.7 200 7 1.1416476395312625
0.1 0.3 0.7 200 8 0.015837349668355927
0.1 0.3 0.7 200 9 0.3159743930337502
0.1 0.3 0.7 200 10 0.0012976748937276739
0.1 0.3 0.7 200 11 3.071325056531631
0.1 0.3 0.7 200 12 0.03632250188477748
0.1 0.3 0.7 200 13 0.013394994794728277
0.1 0.3 0.7 200 14 0.006551796112223229
0.1 0.3 0.9 100 0 106.17831654729353
0.1 0.3 0.9 100 1 49.54223996897732
0.1 0.3 0.9 100 2 55.67348861466307
0.1 0.3 0.9 100 3 19.757866392651565
0.1 0.3 0.9 100 4 48.85410194543667
0.1 0.3 0.9 100 5 18.149267427803096
0.1 0.3 0.9 100 6 49.864185134617806
0.1 0.3 0.9 100 7 52.99973385381561
0.1 0.3 0.9 100 8 38.0038489378505
0.1 0.3 0.9 100 9 44.276447792880035
0.1 0.3 0.9 100 10 75.05398323802655
0.1 0.3 0.9 100 11 0.0
0.1 0.3 0.9 100 12 53.54951996680771
0.1 0.3 0.9 100 13 121.45880150265839
0.1 0.3 0.9 100 14 65.17047765140069
0.1 0.3 0.9 200 0 1.075159231284701
0.1 0.3 0.9 200 1 0.020066120949469024
0.1 0.3 0.9 200 2 0.0012960281875304958
0.1 0.3 0.9 200 3 0.047185549132017
0.1 0.3 0.9 200 4 0.0231025307553665
0.1 0.3 0.9 200 5 1.1063464011265793
0.1 0.3 0.9 200 6 2.0804083822188186
0.1 0.3 0.9 200 7 0.03529523305354587
0.1 0.3 0.9 200 8 1.0071253088650636
0.1 0.3 0.9 200 9 1.4482264405115863
0.1 0.3 0.9 200 10 0.004466292051317211
0.1 0.3 0.9 200 11 1.0568538573157458
0.1 0.3 0.9 200 12 1.0809647660412018
0.1 0.3 0.9 200 13 0.00255094213676621
0.1 0.3 0.9 200 14 2.0676198966906636
0.1 0.5 0.1 100 0 34.881616636559556
0.1 0.5 0.1 100 1 25.674243877509053
0.1 0.5 0.1 100 2 57.625669138702726
0.1 0.5 0.1 100 3 59.339929528151956
0.1 0.5 0.1 100 4 29.41915045573947
0.1 0.5 0.1 100 5 3.552713678800501e-15
0.1 0.5 0.1 100 6 42.07003887201913
0.1 0.5 0.1 100 7 24.668670143252715
0.1 0.5 0.1 100 8 19.710808873890976
0.1 0.5 0.1 100 9 43.565416294816444
0.1 0.5 0.1 100 10 37.83951323095728
0.1 0.5 0.1 100 11 38.03759763574421
0.1 0.5 0.1 100 12 46.40418400091588
0.1 0.5 0.1 100 13 0.0
0.1 0.5 0.1 100 14 26.727684340513665
0.1 0.5 0.1 200 0 3.2208163728900683
0.1 0.5 0.1 200 1 0.0025039695707782528
0.1 0.5 0.1 200 2 1.001499164646118
0.1 0.5 0.1 200 3 0.0036747314767886508
0.1 0.5 0.1 200 4 0.00019725449298668707
0.1 0.5 0.1 200 5 0.0012284247868112885
0.1 0.5 0.1 200 6 0.0026532649658328467
0.1 0.5 0.1 200 7 0.0014484919364878834
